,SMILES,Value
48,CN1CCC=C(c2nsnc2OCCOCCOCCOCCOc2nsnc2C2=CCCN(C)C2)C1,0.00011999999999999999
49,C[N+]12CCC(CC1)[C@@H](OC(=O)Nc1ccc(F)cc1-c1ccc(F)c(Cl)c1)C2,0.00011999999999999999
50,C=CCCCC[N@+]1(C)C2CCC1C[C@H](CC(C#N)(c1ccccc1)c1ccccc1)C2,0.00011999999999999999
51,C=CCCCC[N@+]1(C)C2CCC1C[C@H](CC(C#N)(c1ccccc1)c1ccccc1)C2,0.00011999999999999999
52,C[N+]12CCC(CC1)[C@@H](OC(=O)Nc1ccc(F)cc1-c1ccc(F)c(Cl)c1)C2,0.00011999999999999999
53,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,0.00012590000000000002
54,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,0.000126
55,C(#Cc1ccc(C#CCOc2nsnc2C2CN3CCC2CC3)cc1)COc1nsnc1C1CN2CCC1CC2,0.000129
56,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.000131
57,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,0.00014000000000000001
58,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,0.00014000000000000001
59,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,0.00014000000000000001
60,N#Cc1ccc(N2C3CCC2CN(C(=O)CCS(=O)(=O)c2cccc4ncsc24)C3)nc1,0.00014000000000000001
61,N#Cc1ccc(N2C3CCC2CN(C(=O)CCS(=O)(=O)c2cccc4ncsc24)C3)nc1,0.00014000000000000001
62,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.00015
63,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.00015
64,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,0.00016
65,O=c1ccc2c([C@@H](O)CNCCc3ccc(CCN4CCC(Cn5cnc([C@](O)(c6ccccc6)C6CCCCC6)n5)CC4)cc3)ccc(O)c2[nH]1,0.00016
66,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,0.00016
67,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,0.00016
68,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,0.00016
69,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0.0001698
70,CN1CCC=C(c2nsnc2OCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,0.00019
71,O=C(O[C@H]1CN2CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.00019
72,CN1CCC=C(c2nsnc2OCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,0.00019
73,O=C(O[C@H]1CN2CCC1CC2)[C@](O)(c1cccs1)C1CCCC1,0.00019
74,C(#Cc1ccccc1)CSc1nsnc1[C@H]1CN2CCC[C@H]1C2,0.0002
75,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.0002
76,O=C(O[C@H]1CN2CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,0.0002
77,C(#Cc1ccccc1)CSc1nsnc1[C@H]1C[N@@]2CCC[C@H]1C2,0.0002
78,O=C(O[C@H]1CN2CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,0.0002
79,O=C(O[C@H]1CN2CCC1CC2)C(O)(c1cccs1)c1cccs1,0.0002
80,O=C(O[C@H]1CN2CCC1CC2)C(O)(c1cccs1)c1cccs1,0.0002
