SMILES,Type,Relation,Value
O=C(C1CCN(c2cc(Oc3ccccc3F)ncn2)CC1)N1CCc2ccccc2C1,IC50,'=',322
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1.[Br-],IC50,'=',0.16
O=C(O)CCNC(=O)c1ccccc1,IC50,,
C#CCN(C)[C@H](C)Cc1ccccc1,IC50,,
CC(C)NCC(O)c1ccc(O)c(O)c1,IC50,,
CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,IC50,,
CC(C)N(C(=O)O[C@H]1CN2CCC1CC2)c1ccccc1,IC50,'=',428
O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,IC50,'=',63.5
O=C(O[C@H]1CN2CCC1CC2)N(Cc1cc(F)c(F)c(F)c1)c1cccc(F)c1,IC50,'=',0.9
C/C=C\c1ccc(O)c(OC)c1,IC50,,
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,IC50,,
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,IC50,,
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,IC50,,
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,IC50,,
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,,
NCC(=O)O,IC50,,
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,IC50,,
Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,IC50,,
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,IC50,,
Cc1cccc(C)c1NC(=O)C1CCCCN1C,IC50,,
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,IC50,,
CCOC(=O)c1ccc(N)cc1,IC50,,
O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,IC50,,
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,IC50,,
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,IC50,,
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,IC50,,
,,,
[Cl-].[Cl-].[Zn+2],IC50,,
CN(C)CCC=C1c2ccccc2COc2ccccc21,IC50,'=',77
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,IC50,,
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CC[N+](Cc3ccc(Cl)cc3)(CC3CCc4ccccc4C3)CC2)cc1,IC50,'=',462.4
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(C)(C)C[N+](C)(C)Cc2ccc(Cl)cc2)cc1,IC50,'=',476
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N(CC[N+](C)(C)C)Cc2ccccc2)cc1,IC50,'>',3300
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC([N+]3(Cc4ccc(Cl)cc4)CCCC3)CC2)cc1,IC50,'=',881.5
Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',13000
COc1ccc(Cn2cc(C(=O)NCCCCCCCCNc3c4c(nc5ccc(OC)cc35)CCCC4)c(=O)c3ccccc32)cc1,IC50,'=',7860
COc1ccc(Cn2cc(C(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)c(=O)c3ccccc32)cc1,IC50,'=',455
CCCCCCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1,IC50,'=',484.2
CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,IC50,'>',30000
Fc1ccc(C#CCO/N=C2\CN3CCC2C3)cc1,IC50,'=',5460
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,IC50,,
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,IC50,,
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,,
CCN1CC=C(c2ccccc2)C(C(=O)OCCCCCc2ccccc2)C1.O=C(O)C(=O)O,IC50,'=',670
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)N(Cc1ccc(C#N)cc1)c1ccccc1)C2.[Br-],IC50,'=',257.9
,,,
O=C(CCNS(=O)(=O)c1cccc2ncccc12)N1CCN(c2ccc(Br)cn2)CC1,IC50,'=',2100
O=C(CCNS(=O)(=O)c1cccnc1)N1CCN(c2ccncc2)CC1,IC50,'>',10000
COc1cc(CO/N=C2\CN3CCC2CC3)on1.Cl,IC50,'=',362
C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1,IC50,,
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,IC50,,
COC(=O)C1=CCCN(C)C1,IC50,'=',115500
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,IC50,,
COS(C)(=O)=O,IC50,,
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,IC50,,
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,IC50,,
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,IC50,,
C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,IC50,,
Cc1cc(C[N+](C)(C)CC#CCOC2=NOCC2)ccc1/N=N/c1ccc(C[N+](C)(C)CC#CCOC2=NOCC2)cc1.[Br-].[Br-],IC50,'=',15.14
,IC50,,
NC(CO)(CO)CO,IC50,,
N#CC(C#N)=Cc1ccc(O)c(O)c1,IC50,,
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,IC50,,
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,IC50,,
CNC[C@H](O)c1ccc(O)c(O)c1,IC50,,
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,IC50,,
COc1ccc2nc3c(c(N)c2c1)CCCC3,IC50,'=',3710
COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1,IC50,,
COc1ccc(Cn2cc(C(=O)NCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c(=O)c3ccccc32)cc1,IC50,'=',9450
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,IC50,,
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,,
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,IC50,,
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,IC50,,
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,IC50,,
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.[Cl-],IC50,,
N[C@@H](Cc1ccc(F)cc1)C(=O)O,IC50,,
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],IC50,,
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,IC50,,
CC(c1cc2ccccc2s1)N(O)C(N)=O,IC50,,
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CS(=O)(=O)O,IC50,,
