ID,SMILES,Type,Value
261728,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3CCOC[C@@H]3O)c(F)c3ccccc23)c(F)c1 |r|,EC50,14
261729,O[C@H]1COCC[C@@H]1NC(=O)c1cc(Cc2ccc(OC(F)(F)F)cc2)c2ccccc2c1F |r|,EC50,541
261730,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3CCOC[C@@H]3O)c(F)c3ccccc23)cc1 |r|,EC50,11
261731,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c(F)c3ccccc23)cn1 |r|,EC50,10
261732,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3CCOC[C@@H]3O)c(F)c3ccccc23)cn1 |r|,EC50,2
261733,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@@H]3CCOC[C@H]3O)c(F)c3ccccc23)cn1 |r|,EC50,65
261735,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3COCC[C@@H]3O)c(F)c3ccccc23)cn1 |r|,EC50,33
261736,Cn1cc(cn1)-c1ccc(Cc2cc(C(=O)N[C@H]3CCCC[C@@]3(C)O)c(F)c3ccccc23)cn1 |r|,EC50,20
261737,Cc1ccc(Cc2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c(F)c3ccccc23)cn1 |r|,EC50,213
261738,O[C@H]1CCCC[C@@H]1NC(=O)c1cc(Cc2ccc(nc2)C2CC2)c2ccccc2c1F |r|,EC50,230
261740,O[C@H]1CCCC[C@@H]1NC(=O)c1cc(CN2CCC(CC2)(C#N)c2ccccn2)c2ccccc2c1F |r|,EC50,258
277208,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1 |r|,EC50,100
277209,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cc(F)cc(F)c2)c2cccnc12 |r|,EC50,200
277210,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cc(F)ccc2F)c2cccnc12 |r|,EC50,158
277211,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cccc(F)c2)c2cccnc12 |r|,EC50,158
277212,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,126
277213,Cc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)ccc1F |r|,EC50,200
277214,Cc1nc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cs1 |r|,EC50,1259
277215,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cccc(F)c2F)c2cccnc12 |r|,EC50,316
277216,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(OC(F)(F)F)cc2)c2cccnc12 |r|,EC50,251
277217,Cc1ccnc2c(cn(Cc3ccc(F)cc3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,20
277218,Cc1ccnc2c(cn(Cc3cccc(F)c3F)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,126
277219,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)cc1 |r|,EC50,20
277220,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)cc1F |r|,EC50,12.6
277221,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2c(Cl)ccnc12 |r|,EC50,50.1
277222,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cccc(F)c2F)c2c(Cl)ccnc12 |r|,EC50,100
277223,Cc1cccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)n1 |r|,EC50,316
277224,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cn2)c2c(Cl)ccnc12 |r|,EC50,126
277225,OC[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,794
277226,C[C@H]1COCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,1000
277227,C[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,794
277228,OCC1(CCCC1)NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12,EC50,1995
277229,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccccc2F)c2cccnc12 |r|,EC50,316
277230,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(Cl)cc2)c2cccnc12 |r|,EC50,251
277231,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2F)c2cccnc12 |r|,EC50,316
277232,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cn1 |r|,EC50,631
277233,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)nc1 |r|,EC50,794
277234,O[C@H]1CCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,794
277235,O[C@H]1CCCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,251
277236,Fc1ccc(Cn2cc(C(=O)NC3CCOCC3)c3ncccc23)cc1,EC50,1585
277237,Fc1ccc(Cn2cc(C(=O)NC3CCNCC3)c3ncccc23)cc1,EC50,316
277238,CN1CCC(CC1)NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12,EC50,316
277239,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2c(ccnc12)C#N |r|,EC50,200
277240,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(cc2)C(F)(F)F)c2c(ccnc12)C#N |r|,EC50,100
277241,O[C@H]1CC(F)(F)CCC1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,126
277242,O[C@@H]1CC(F)(F)CCC1NC(=O)c1cn(Cc2ccc(F)cc2)c2cccnc12 |r|,EC50,501
277244,COc1ccnc2c(cn(Cc3ccc(F)cc3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,200
277245,COc1ccc2n(Cc3ccc(F)cc3)cc(C(=O)N[C@H]3CCCC[C@@H]3O)c2n1 |r|,EC50,1585
277246,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2ccc(Cl)nc12 |r|,EC50,1000
277247,Cc1ccc2n(Cc3ccc(cc3)-n3cccn3)cc(C(=O)N[C@H]3CCCC[C@@H]3O)c2n1 |r|,EC50,316
