SMILES,Type,Relation,Value
CN(C)C[C@H]1CN(C)C(=O)O1,Ki,'>',100000
CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CC[C@H](F)C2)CC1,Ki,'=',75
O=C(NC1CCN(Cc2ccccn2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',15
O=C(NC1CCN(CC2CCCCC2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',140
C[N+]12CCC(CC1)C(c1cc3ccccc3o1)C2,Ki,'=',520
O=C(NC1CCN(Cc2cccc(F)c2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',2.5
COc1ccc([S@@+]([O-])c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',253
CCCc1cc(NCC(C)(C)N(CC)CC)nnc1-c1ccccc1,Ki,'=',112
COc1ccccc1CN1CCC(C2CCN(C(=O)CCCCCCC(=O)N3CCC(C4CCN(Cc5ccccc5OC)CC4)CC3)CC2)CC1,Ki,'=',108
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Ki,'=',1.8
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Ki,'=',1600
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Ki,'=',100
CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N1c2ccccc2NC(=O)c2ccccc21.O=C(O)C(=O)O.O=C(O)C(=O)O,Ki,'=',45.71
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCNC34CC5CC(CC(C5)C3)C4)[C@@H]12,Ki,'=',136
COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,Ki,'>',10000
C[C@H]1CCC2(CN3CCC2CC3)O1,Ki,'=',15000
CCO/C(O)=C1\CN2CCCC(C2)C1=O,Ki,'=',1200
COC(=O)C1=CCCN(C)C1,Ki,'=',29000
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Ki,'=',2.291
CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1.O=C(O)C(F)(F)F,Ki,'=',1047.13
CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Ki,'=',32.36
CCC(=O)NCCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1.O=C(O)C(F)(F)F,Ki,'=',85.11
Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,Ki,'=',8800
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1.Cl,Ki,'=',1737.8
CCN(CC)CCOC(=O)c1ccccc1Sc1ccc(Cl)cc1,Ki,'=',519
CCN(CC)CCOC(=O)C(CC)(c1ccccc1)c1ccccc1,Ki,'=',166
CCCN1CC[C@H]2c3cc4ccc(C(F)(F)F)cc4nc3[C@H](CC)[C@H]3CCC[C@@H]1[C@@H]32,Ki,'>',10000
N#Cc1cc(F)cc(C#Cc2csc(F)n2)c1,Ki,'>',10000
Cl.Cl.OC(CCCN1CCC(C2CCN(CCCC(O)(c3ccccc3)c3ccccc3)CC2)CC1)(c1ccccc1)c1ccccc1,Ki,'=',794.33
CN1CCN(CCCC(O)(c2ccccc2)c2ccccc2)CC1.Cl.Cl,Ki,'=',7762.47
Cl.Cl.OC(CCCN1CCNCC1)(c1ccccc1)c1ccccc1,Ki,'=',602.56
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,Ki,'=',51.29
Clc1cc(Cl)cc(N2CCNCC2)c1,Ki,'=',7943.28
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.[Br-],Ki,'=',0.433
CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,Ki,'=',3581
Fc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1,Ki,'=',340
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Ki,'=',15
COc1ccccc1C[N+](C)(C)C.[I-],Ki,'=',26000
COc1cccc2c1CC(C[N+](C)(C)C)CC2.O=C[O-],Ki,'=',1800
CN(C)C1CCc2cccc(O)c2C1,Ki,'>',50000
C[N+](C)(C)CCc1ccc2c(c1)OCC2.O=C[O-],Ki,'=',6800
C[N+]1=C(/C=C/C=C/C=C2/N(CCCCCC(=O)NCCN3CCN(CCCCC4CCN(CC(=O)N5c6ccccc6NC(=O)c6ccccc65)CC4)CC3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C([O-])C(F)(F)F,Ki,'=',15.14
CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,Ki,'=',4800
COc1ccc(-c2cc(F)ccc2NC(=O)OCC2CCNCC2)cc1,Ki,'=',250
CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)Nc1ccc(F)cc1-c1ccccc1)C2,Ki,'=',0.93
C[N@+]12CC[C@H](CC1)[C@@H](OC(=O)Nc1ccc(F)cc1-c1ccccc1)C2.O=C([O-])C(F)(F)F,Ki,'=',0.75
C[N+]1(C)CCC(COC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1.O=C[O-],Ki,'=',1.1
O=C(Nc1ccc(F)cc1-c1ccc(Cl)c(Cl)c1)OCC1CCNCC1,Ki,'=',0.66
O=C(Nc1ccccc1-c1ccccc1)O[C@H]1CN2CCC1CC2,Ki,'=',0.56
COc1ccc([S+]([O-])c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',117
CCN1/C(=C/C=C/c2ccc3cc(NC(=O)CCCCC(=O)O)ccc3[n+]2CC)C=Cc2ccccc21,Ki,'>',10000
COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1,Ki,'>',10000
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Ki,'=',1140.7
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@H](C)N3C)[C@@H]12,Ki,'>',1400
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,Ki,'=',23442.29
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,Ki,'=',359
COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1,Ki,'>',10000
Fc1ccc(C(N[C@H]2C[C@H]3CC[C@@H](C2)N3CCc2c[nH]c3ccccc23)c2ccc(F)cc2)cc1,Ki,'=',413
CCCCN1[C@@H]2CC[C@H]1C[C@@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,Ki,'=',454
CCCCc1[nH]c2ccc3c(c2c1C(=O)OCC)CN1CCc2cc(SC)ccc2C1O3,Ki,'=',870.96
COc1ccc(S(=O)(=O)c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',71.8
COc1ccc([S@+]([O-])c2ccc(C(C#N)C3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',136.3
NCc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)c1,Ki,'=',340
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN3CCC(O)CC3)[C@@H]12,Ki,'>',900
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1)C(=O)c1cccc(I)c1,Ki,'=',67.1
CCOC(=O)CCN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)C3)CC1,Ki,'=',2473
CCN(CC)CCOCCOCC1(c2ccccc2)CCCC1,Ki,'=',910
O=C(NC1CCN(CC2CCCCCC2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',170
Cc1ccccc1CN1CCC(NC(=O)C(O)(c2ccccc2)C2CCCC2)CC1,Ki,'=',1200
Nc1ccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)cc1F,Ki,'=',2.5
O=C1CCc2ccccc2N1CCCN1CCC(CCc2ccccc2)CC1,Ki,'=',263.03
O=C(NCC1CCNCC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,Ki,'=',170
C[C@H]1OC[C@@H]([C@@H]2CCC[N+]2(C)C)O1,Ki,'=',21379.62
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Ki,'=',101.2
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,Ki,'=',163
Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,Ki,'=',32
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Ki,'=',64
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,Ki,'=',0.27
O=C(Nc1ccc(F)cc1-c1ccccc1)O[C@H]1CN2CCC1CC2,Ki,'=',0.53
O=C(Nc1ccc(F)cc1-c1ccccc1Cl)OCC1CCNCC1,Ki,'=',53
O=C(Nc1ccc(F)cc1-c1ccccc1)N[C@H]1CN2CCC1CC2,Ki,'=',5.3
CC[N+](CC)(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.[I-],Ki,'=',65.5
CCN(CC)CCCOC(=O)N1c2ccccc2Sc2ccccc21,Ki,'=',64
CC(C1=C(CCN(C)C)Cc2ccc(F)cc21)c1ccccn1,Ki,'=',331.13
CN(C)CCC1=C(C(c2ccccc2)c2ccccn2)c2ccccc2C1,Ki,'=',43.65
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,Ki,'=',7943.28
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,Ki,'=',309.03
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,Ki,'=',323.59
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1csnn1,Ki,'=',169.82
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)cc1,Ki,'=',457.09
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CC=NC(=O)C1,Ki,'=',371.54
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccn(C)c(=O)c1,Ki,'=',302
CC(=O)NC1CCC(c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)CC1,Ki,'=',173.78
CN(C)[C@@H]1CCCC[C@H]1N(C)CC(=O)N1c2ccccc2NC(=O)c2ccccc21.O=C(O)C(=O)O.O=C(O)C(=O)O,Ki,'=',22.39
CCC1CCCCN1CCC[C@@H]1[C@H]2CCCC[C@@H]2C[C@@H]2C(=O)O[C@@H](C)[C@H]12,Ki,'=',341
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,Ki,'=',138.04
CN(C)CC1COCC(c2ccccc2)(c2ccccc2)O1.O=C(O)C(=O)O,Ki,'=',4.571
C[N+](C)(C)C[C@@H]1COCC(c2ccccc2)(c2ccccc2)O1.[I-],Ki,'=',16.22
C[N+](C)(C)C[C@H]1COCC(c2ccccc2)(c2ccccc2)O1.[I-],Ki,'=',0.5012
O=C(NCCC1CCNCC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',140
CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCN(CCO)CC1,Ki,'=',77
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],Ki,'=',0.013
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Ki,'=',629
COc1ccc(CCNC(=O)OCC2(c3ccccc3)CCN(C)CC2)cc1OC,Ki,'=',5090
COc1ccc(CCC(=O)NCC2(c3ccccc3)CCN(C)CC2)cc1,Ki,'=',3440
Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1,Ki,'=',480
Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,Ki,'>',10000
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Ki,'=',1000
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN3CCCC4CCCCC43)[C@@H]12,Ki,'=',38
C[C@H]1OC[C@@H](C[N+](C)(C)C)O[C@@H]1C.[I-],Ki,'>',100000
C[C@H]1CO[C@H](C[N+](C)(C)C)CO1.[I-],Ki,'>',100000
O=C(CCCCCNC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NC[C@H]1CCCN(CC2CCCCC2)C1,Ki,'=',110
c1ccc2oc(C3CN4CCC3CC4)cc2c1,Ki,'=',57
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,Ki,'=',0.3236
CCC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,Ki,'=',6075
CCCCCCOc1nccnc1OC1CN2CCC1C2,Ki,'=',30
C1=C(c2ccccn2)C2CCN1CC2,Ki,'=',1200
COc1ccc([S@@+]([O-])c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',112
COc1ccc([S@+]([O-])c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,Ki,'=',253.3
Cc1cc(NCCN2C3CCCC2CC3)nnc1-c1ccccc1O,Ki,'=',3
CC(C1=C(CN(C)C(C)C)Cc2ccccc21)c1ccccn1,Ki,'=',229.09
COc1ccc(CN2C3C4C5CC6C7C5C3C7C2(O)C64)cc1OC,Ki,'=',4610
CCCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Ki,'>',10000
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c1ccc(O)cc1,Ki,'=',44
C=C(c1ccc(Sc2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,Ki,'=',4.4
CC1(N)CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Ki,'=',4.7
O=C(CNC(=O)[C@@H]1CCCN1C(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NC[C@H]1CCCN(CC2CCCCC2)C1,Ki,'=',150
CCO/C(O)=C1\CN2CC(CCC2CN(C)C)C1=O,Ki,'>',100000
CN1CCC[C@H]1COC(N)=O,Ki,'>',100000
CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CC[C@H](O)C2)CC1,Ki,'=',88
Cc1nccn1CC#CCOc1ccon1,Ki,'=',91.2
O=C(CCCNC(=O)CNC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NCC1CCCN(CC2CCCCC2)C1,Ki,'=',300
CCN(CC)CCOCNC(=O)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,Ki,'=',581
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,Ki,'=',158.49
C[N+](C)(C)CCOC(N)=O.[Cl-],Ki,'=',38018.94
C1=C(c2cc3ccccc3o2)C2CCN1CC2,Ki,'=',9.6
CCOC(=O)C(=O)Nc1cc(C)nc(N2CCc3ccccc3C2)c1,Ki,,
CCCCCCSc1nccnc1O[C@H]1CN2CCC1C2,Ki,'=',124
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Ki,'=',14
Cc1cc(N)cc(N2CCc3ccccc3C2)n1,Ki,'=',2600
CCN(CC)CCOCCNC(=O)C1(c2ccccc2)CCCC1,Ki,'>',10000
CN1CCC=C(c2nsnc2SCCCSc2nsnc2C2=CCCN(C)C2)C1,Ki,'=',1.2
CCCCCCSc1nccnc1SC1CN2CCC1C2,Ki,'=',30
c1ccc2c(c1)CC(C1CN3CCC1CC3)O2,Ki,'=',440
OC1(c2cccs2)CN2CCC1CC2,Ki,'=',11600
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CCCN3CCNCC3)[C@@H]12,Ki,'>',420
CCCCCCOc1nsnc1C1=CCCN(C)C1,Ki,'=',42
CN1CCC=C(c2nsnc2SCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,Ki,'=',0.87
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,Ki,'=',1676
C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](C#C[C@H]3CCC[C@H](C)N3C)[C@@H]12,Ki,'=',5370.32
CN1CCN(C(=O)C2=C/C(=C\c3ccncc3)c3ccccc32)CC1,Ki,'=',29512.09
