,Loss,TP,FN,Sensitivity
0,0.016725807,33,0,1
1,0.011937016,33,0,1
2,0.00736841,33,0,1
3,0.010675987,33,0,1
4,0.004991937,33,0,1
5,0.006786214,33,0,1
6,0.005832288,33,0,1
7,0.011988799,33,0,1
8,0.011183322,33,0,1
9,0.011258797,33,0,1
