,Loss,TP,FP,TN,FN
0,0.14611727,32,0,0,1
1,0.082527928,31,0,0,2
2,0.027347252,32,0,0,1
3,0.165633813,32,0,0,1
4,0.130649194,31,0,0,2
5,0.222411081,32,0,0,1
6,0.179817021,32,0,0,1
7,0.051985547,31,0,0,2
8,0.308627844,31,0,0,2
9,0.225388452,31,0,0,2
